Name,Handle,Timestamp,Content,Comments,Retweets,Likes,Analytics,Tweet Link
PTI,@PTIofficial,2024-01-23T18:28:45.000Z,دیپالپور: پی پی 189 سے تحریک انصاف کے نامزد امیدوار طارق ارشاد، انتخابی نشان ٹرانسفارمر کی اپنے حلقہ انتخاب میں ریلی: عوام نے طارق ارشاد کا پرتپاک استقبال کیا۔#اب_غلامی_نامنظور,51,444,1.3K,20K,https://twitter.com/PTIofficial/status/1749861744334291264
PTI,@PTIofficial,2024-01-23T15:19:21.000Z,"PTI Social Media Team will host the first ever live Jalsa on TikTok!

Join us to make history!Jan 24th 9 PM PKT
 @PTITikTokLive",52,265,692,17K,https://twitter.com/PTIofficial/status/1749814079383065033
Elon Musk (Parody),@ElonMuskAOC,2024-01-23T01:28:43.000Z,Is this me riding a motorcycle?,767,600,4.6K,335K,https://twitter.com/ElonMuskAOC/status/1749605043429658913
Historic Vids,@historyinmemes,2024-01-23T01:59:00.000Z,Who approved Brazil's soccer team entrance in 1991?,4K,19K,246K,42M,https://twitter.com/historyinmemes/status/1749612665004237135
PTI,@PTIofficial,2024-01-23T18:40:11.000Z,Special message of  President PTI KP regarding upcoming elections. #اب_غلامی_نامنظور,48,755,1.7K,29K,https://twitter.com/PTIofficial/status/1749864623988232379
,@Whotfismick,2024-01-23T05:48:56.000Z,when I set alarms every 5 min:,203,20K,136K,5.2M,https://twitter.com/Whotfismick/status/1749670529093574710
non aesthetic things,@PicturesFoIder,2024-01-23T17:24:00.000Z,she needs to be banned,1.9K,2.5K,55K,13M,https://twitter.com/PicturesFoIder/status/1749845448972448177
Creepy.org,@CreepyOrg,2024-01-23T13:49:40.000Z,Just saw Paul Walker autopsy report ,466,604,22K,14M,https://twitter.com/CreepyOrg/status/1749791510886035517
Crazy Clips,@crazyclips_,2024-01-23T02:00:01.000Z,African Migrants Fight Asian Migrants In The Netherlands,12K,6.8K,44K,15M,https://twitter.com/crazyclips_/status/1749612919997010293
PTI Karachi,@PTIKarachi_,2024-01-23T16:31:24.000Z,"بہروپیوں سے ہوشیار!
کراچی ضلع وسطی کے PS124 سے پاکستان تحریک انصاف کے امیدوار براۓ صوبائی اسمبلی “وجاہت علی” ہیں۔ جن کا انتخابی نشان ”P “ہے۔
یہ نشست قومی اسمبلی کے حلقوں NA248 اور NA247 میں آتی ہے اور اسکا کچھ حصہ NA250 میں۔
NA248 کا آفیشل چینل جوائن کریں:
NA248:…",28,356,642,22K,https://twitter.com/PTIKarachi_/status/1749832212449554552
no context memes,@weirddalle,2024-01-23T08:04:28.000Z,,961,18K,237K,15M,https://twitter.com/weirddalle/status/1749704637043651046
Elon Musk (Parody),@elonmuskewl,2024-01-23T14:47:35.000Z,"It would be lovely to be 30 again. 

Sometimes.",163,33,401,8.8K,https://twitter.com/elonmuskewl/status/1749806085912121603
PTI,@PTIofficial,2024-01-23T13:33:27.000Z,این اے 10 بونیر ؛ پی ٹی آئی امیدوار گوہر خان کی اپنے ڈیرے پر کارنر میٹنگ جلسے میں بدل گئی#اب_غلامی_نامنظور,40,586,1.8K,25K,https://twitter.com/PTIofficial/status/1749787429773455618
Buitengebieden,@buitengebieden,2024-01-23T08:25:00.000Z,A girl and her dog enjoying the sunset.. ,633,13K,98K,4.9M,https://twitter.com/buitengebieden/status/1749709805101678807
Disclose.tv,@disclosetv,2024-01-23T17:45:34.000Z,JUST IN - Justin Trudeau's use of the Emergencies Act to quell protests has been ruled unconstitutional by a federal court in Canada.,942,5.8K,28K,1.8M,https://twitter.com/disclosetv/status/1749850878083801539
Nature is Amazing,@AMAZlNGNATURE,2024-01-23T00:19:08.000Z,"""Hey bird, I can do that too” ",1.7K,37K,311K,32M,https://twitter.com/AMAZlNGNATURE/status/1749587535456604575
PTI,@PTIofficial,2024-01-23T18:37:31.000Z,"آج کل نیٹ بند ہو رہا ہے، اچانک شارک مچھلی پانی سے باہر آجاتی ہے! کیوں کیا ڈر ہے؟ انکو پتا ہے کہ سوشل میڈیا سب دیکھا رہا ہے!
- ایثار رانا  #IKisComing",30,305,890,25K,https://twitter.com/PTIofficial/status/1749863951012073621
Eva McMillan,@EvasTeslaSPlaid,2024-01-23T17:23:13.000Z,"Elon Musk just said on Spaces:
STOP ATTACKING THE FARMERS. LEAVE FARMERS ALONE!!! Please. ",40,62,337,9.8K,https://twitter.com/EvasTeslaSPlaid/status/1749845253605998886
Musk University | Quotes (parody),@MuskUniverse420,2024-01-23T16:49:59.000Z,"“In order to make the right decisions, you have to understand something. If you don’t understand something at a detailed level, you cannot make a decision.”

| Elon Musk",102,68,412,5.7K,https://twitter.com/MuskUniverse420/status/1749836891011068244
PTI,@PTIofficial,2024-01-23T13:11:24.000Z,"این اے 150 ملتان سے پی ٹی آئی کے امیدوار زین حسین قریشی (انتخابی نشان: جوتا) ہیں، پی پی 217 سے امیدوار ندیم قریشی (انتخابی نشان: گھڑیال) اور پی پی 218 سے ظہور احمد بھٹہ (انتخابی نشان: ٹوتھ برش) ہیں۔

اپنا انتخابی حلقہ معلوم کرنے کے لیے اپنا شناختی کارڈ 8300 پر بھیجیں، پھر اس لنک…",66,504,1.4K,30K,https://twitter.com/PTIofficial/status/1749781882785718413
PTI,@PTIofficial,2024-01-23T12:26:51.000Z,ووٹ ڈالنے کا طریقہ (پنجابی میں)#IKisComing #عمران_کا_پلڑا_بھاری_ہے,40,696,1.4K,30K,https://twitter.com/PTIofficial/status/1749770667854110834
PTI,@PTIofficial,2024-01-23T13:22:32.000Z,"The police immediately acts against PTI’s campaign but cannot or better doesn’t want to see the rallies and Jalsas being held by PMLN.

The complete democratic process of elections is being dismantled just to favour Nawaz Sharif. Absolutely shameful!",66,2.1K,3.5K,69K,https://twitter.com/PTIofficial/status/1749784684484038987
Leading Report,@LeadingReport,2024-01-23T05:04:00.000Z,BREAKING: Elon Musk: “This (Biden) administration is actively aiding illegal immigration.”,669,5.6K,35K,1.2M,https://twitter.com/LeadingReport/status/1749659221908435058
PTI,@PTIofficial,2024-01-23T15:12:42.000Z,عمران خان کا دیا ہوا شعور اپنی پوری آب و تاب کے ساتھ چمک رہا ہے اور یہی شعور ہماری نسلوں کو سنوارے گا انشاءاللّہ!#اب_غلامی_نامنظور,59,342,1.3K,22K,https://twitter.com/PTIofficial/status/1749812408137506868
PTI,@PTIofficial,2024-01-23T10:06:51.000Z,اوکاڑہ: تحریک انصاف کے نامزد امیدواران برائے قومی و صوبائی اسمبلی اور ان کے انتخابی نشانات نوٹ: 8300 پہ اپنا شناختی کارڈ نمبر بھیج کر پہلے حلقہ نمبرز معلوم کریں۔ قومی اسمبلی کے ووٹ کیلئے بیلٹ پیپر کا رنگ سبز جبکہ صوبائی اسمبلی کے ووٹ کیلئے بیلٹ پیپر کا رنگ سفید ہو گا۔,57,414,1K,26K,https://twitter.com/PTIofficial/status/1749735437621403795
PTI,@PTIofficial,2024-01-22T17:41:47.000Z,چئرمین پاکستان تحریک انصاف و امیدوار این اے 10  کی ملکپور ہاوس میں ورکرز کنونشن میں شرکت۔#ظلم_کا_بدلہ_ووٹ_سے,80,745,3K,55K,https://twitter.com/PTIofficial/status/1749487535477199039
PTI Khyber Pakhtunkhwa,@PTIKPOfficial,2024-01-23T18:55:56.000Z,8 فروری 2024 کو ہونے والے عام انتخابات کے حوالے سے صوبائی صدر پاکستان تحریک انصاف خیبر پختونخوا  کا اہم ویڈیو پیغام! #اب_غلامی_نامنظور,14,434,1.1K,15K,https://twitter.com/PTIKPOfficial/status/1749868585764204891
PTI,@PTIofficial,2024-01-23T12:42:18.000Z,اڈیالہ جیل میں پیشی کے بعد بانی چیئرمین عمران خان کی ہمشیرہ علیمہ خان کی میڈیا سے گفتگو: #اب_غلامی_نامنظور,61,555,1.4K,23K,https://twitter.com/PTIofficial/status/1749774558268146071
PTI,@PTIofficial,2024-01-23T17:28:33.000Z,"این اے 57 سے پی ٹی آئی کی امیدوار سیمابیہ طاہر (انتخابی نشان: کوئین) کا  یو سی-77 میں کمپین کا آغاز کر دیا ہے،  جیپ ریلی میں بڑی تعداد میں پی ٹی آئی ورکرز نے شرکت کی. 

اپنا انتخابی حلقہ معلوم کرنے کے لیے اپنا شناختی کارڈ 8300 پر بھیجیں، پھر اس لنک پر جائیں:…",26,208,714,18K,https://twitter.com/PTIofficial/status/1749846594034520419
